URL,80,443
http://tools.next.airbnb.com,X,,
https://tools.next.airbnb.com,,X,
http://b.next.airbnb.com,X,,
https://nrikunabi.next.airbnb.com,,X,
http://join.next.airbnb.com,X,,
http://apicovid19-el.next.airbnb.com,X,,
https://apicovid19-el.next.airbnb.com,,X,
http://nrikunabi.next.airbnb.com,X,,
https://nprod.next.airbnb.com,,X,
http://xxmix.next.airbnb.com,X,,
http://iam.next.airbnb.com,X,,
https://iam.next.airbnb.com,,X,
http://nprod.next.airbnb.com,X,,
https://join.next.airbnb.com,,X,
https://b.next.airbnb.com,,X,
http://tenshokuknowhow.next.airbnb.com,X,,
http://styles.int.next.airbnb.com,X,,
https://tenshokuknowhow.next.airbnb.com,,X,
http://playstationadmin.apiwww.next.airbnb.com,X,,
http://1.next.airbnb.com,X,,
https://1.next.airbnb.com,,X,
http://gentei-kumanavi-com.new.next.airbnb.com,X,,
http://codex.optustvnow.next.airbnb.com,X,,
http://xxlong.next.airbnb.com,X,,
http://v1.next.airbnb.com,X,,
https://v1.next.airbnb.com,,X,
http://retail.next.airbnb.com,X,,
http://happybaby1.moodle.next.airbnb.com,X,,
https://retail.next.airbnb.com,,X,
http://az.airbnb.com,X,,
http://mx01.next.airbnb.com,X,,
http://unica.mail31.next.airbnb.com,X,,
https://mx01.next.airbnb.com,,X,
http://netherlands.tl-region-covid19.next.airbnb.com,X,,
http://ss13.evd.next.airbnb.com,X,,
http://akamai-dev.airbnb.com,X,,
https://az.airbnb.com,,X,
http://fencing.merchdirect.next.airbnb.com,X,,
http://prod.next.airbnb.com,X,,
http://upload.next.airbnb.com,X,,
https://prod.next.airbnb.com,,X,
https://upload.next.airbnb.com,,X,
http://docs.next.airbnb.com,X,,
https://docs.next.airbnb.com,,X,
http://remote.next.airbnb.com,X,,
https://remote.next.airbnb.com,,X,
https://akamai-dev.airbnb.com,,X,
http://baesilri2.moodle.next.airbnb.com,X,,
https://xxmix.next.airbnb.com,,X,
http://bultaewoo4.uat.next.airbnb.com,X,,
http://yamaguchi.mail33.next.airbnb.com,X,,
http://localhost.next.airbnb.com,X,,
http://priv.next.airbnb.com,X,,
http://work.airbnb.com,X,,
https://localhost.next.airbnb.com,,X,
http://cemerald.apwww.next.airbnb.com,X,,
https://priv.next.airbnb.com,,X,
http://community-staging.airbnb.com,X,,
http://chk.mail35.next.airbnb.com,X,,
http://mailgw02.moodle.next.airbnb.com,X,,
https://view.next.airbnb.com,,X,
http://view.next.airbnb.com,X,,
https://community-staging.airbnb.com,,X,
https://work.airbnb.com,,X,
http://roku.next.airbnb.com,X,,
https://roku.next.airbnb.com,,X,
http://postmaster.next.airbnb.com,X,,
https://postmaster.next.airbnb.com,,X,
http://catalog.next.airbnb.com,X,,
https://catalog.next.airbnb.com,,X,
http://prototype.admin-lite.airbnb.com,X,,
http://r-viallet1.pictures.next.airbnb.com,X,,
http://ngalileo.next.airbnb.com,X,,
https://ngalileo.next.airbnb.com,,X,
https://prototype.admin-lite.airbnb.com,,X,
http://tl-covid19demo.next.airbnb.com,X,,
https://tl-covid19demo.next.airbnb.com,,X,
http://raffles1.inswww.next.airbnb.com,X,,
http://ligkorea.invenio.next.airbnb.com,X,,
http://tpe.jinx-covid19-id.next.airbnb.com,X,,
https://xxlong.next.airbnb.com,,X,
http://rabin.dev.next.airbnb.com,X,,
https://cim-dev.next.airbnb.com,,X,
http://cim-dev.next.airbnb.com,X,,
http://certificate.next.airbnb.com,X,,
https://tx.next.airbnb.com,,X,
http://ipayishop01.moodle.next.airbnb.com,X,,
http://tx.next.airbnb.com,X,,
https://certificate.next.airbnb.com,,X,
http://sli.moodle.next.airbnb.com,X,,
http://alpha.optustvnow.next.airbnb.com,X,,
https://kb.next.airbnb.com,,X,
http://kb.next.airbnb.com,X,,
https://nstg.next.airbnb.com,,X,
http://nstg.next.airbnb.com,X,,
http://umnine.new.next.airbnb.com,X,,
http://andrews.1.next.airbnb.com,X,,
http://mail32.next.airbnb.com,X,,
http://email.airbnb.com,X,,
https://mail32.next.airbnb.com,,X,
http://swapnil.optustvnow.next.airbnb.com,X,,
http://autoconfig.next.airbnb.com,X,,
https://autoconfig.next.airbnb.com,,X,
http://ks-vendingtransactions-mq1.next.airbnb.com,X,,
https://ks-vendingtransactions-mq1.next.airbnb.com,,X,
http://ccmt.next.airbnb.com,X,,
https://ccmt.next.airbnb.com,,X,
https://email.airbnb.com,,X,
http://m.airbnb.com,X,,
https://app.next.airbnb.com,,X,
http://app.next.airbnb.com,X,,
https://m.airbnb.com,,X,
http://adithya.optustvnow.next.airbnb.com,X,,
http://imap.next.airbnb.com,X,,
https://imap.next.airbnb.com,,X,
http://c.next.airbnb.com,X,,
https://c.next.airbnb.com,,X,
http://ca.airbnb.com,X,,
http://wap.next.airbnb.com,X,,
https://wap.next.airbnb.com,,X,
https://ca.airbnb.com,,X,
https://covid19-private-zh-t.next.airbnb.com,,X,
http://covid19-private-zh-t.next.airbnb.com,X,,
http://sdesign.dev.next.airbnb.com,X,,
http://transparency.airbnb.com,X,,
http://nfrontend.prod.next.airbnb.com,X,,
http://s81.moodle.next.airbnb.com,X,,
https://transparency.airbnb.com,,X,
http://ninfo.next.airbnb.com,X,,
https://ninfo.next.airbnb.com,,X,
https://uk-int.next.airbnb.com,,X,
http://uk-int.next.airbnb.com,X,,
http://fuckers.evd.next.airbnb.com,X,,
http://galileo.next.airbnb.com,X,,
https://galileo.next.airbnb.com,,X,
http://14.admin-lite.airbnb.com,X,,
